"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","111943","Should be able to show message when firstname is more than 32 characters","","Sat Sep 07 20:50:42 WIB 2024","passed","Sat Sep 07 20:52:34 WIB 2024","","Register page","",""
"","5256","Should be able to register account","","Sat Sep 07 15:54:10 WIB 2024","passed","Sat Sep 07 15:54:16 WIB 2024","","Register page","",""
"","91283","Should be able to fill company","","Sat Sep 07 20:51:02 WIB 2024","passed","Sat Sep 07 20:52:34 WIB 2024","","Register page","",""
"","66097","Should be able to show message when city is between 3 and 128 characters","","Sat Sep 07 15:53:10 WIB 2024","passed","Sat Sep 07 15:54:16 WIB 2024","","Register page","",""
"","159317","Should be able to show message when first address is between 3 and 128 characters","","Sat Sep 07 20:51:45 WIB 2024","passed","Sat Sep 07 20:54:24 WIB 2024","","Register page","",""
"","1235","navigate to invoice page on clicking check your order button in account dropdown menu","","Sat Sep 07 20:50:51 WIB 2024","passed","Sat Sep 07 20:50:53 WIB 2024","","Navbar","",""
"","39747","Should be able to show message when loginname is dupilicate","","Sat Sep 07 15:53:36 WIB 2024","passed","Sat Sep 07 15:54:16 WIB 2024","","Register page","",""
"","30015","Should be able to choose yes for subscribe letter","","Sat Sep 07 20:52:04 WIB 2024","passed","Sat Sep 07 20:52:34 WIB 2024","","Register page","",""
"","132677","Should be able to select region dropdown","","Sat Sep 07 20:52:12 WIB 2024","passed","Sat Sep 07 20:54:24 WIB 2024","","Register page","",""
"","93956","Should be able to fill fax","","Sat Sep 07 20:51:00 WIB 2024","passed","Sat Sep 07 20:52:34 WIB 2024","","Register page","",""
"","59291","Should be able to choose country","","Sat Sep 07 20:51:34 WIB 2024","passed","Sat Sep 07 20:52:34 WIB 2024","","Register page","",""
"","126988","Should be able to show message when region is empty","","Sat Sep 07 20:52:17 WIB 2024","passed","Sat Sep 07 20:54:24 WIB 2024","","Register page","",""
"","1650","navigate to special page on clicking special button","","Sat Sep 07 20:51:01 WIB 2024","passed","Sat Sep 07 20:51:03 WIB 2024","","Navbar","",""
"","8101","navigate to register page on clicking on continue button","","Sat Sep 07 21:17:00 WIB 2024","passed","Sat Sep 07 21:17:08 WIB 2024","","Login page","",""
"","1175","navigate to homepage on clicking logo button","","Sat Sep 07 20:50:41 WIB 2024","passed","Sat Sep 07 20:50:42 WIB 2024","","Navbar","",""
"","82030","Should be able to fill second message","","Sat Sep 07 20:51:12 WIB 2024","passed","Sat Sep 07 20:52:34 WIB 2024","","Register page","",""
"","27045","Should be able to choose yes for subscribe letter","","Sat Sep 07 15:53:49 WIB 2024","passed","Sat Sep 07 15:54:16 WIB 2024","","Register page","",""
"","3930","should display the logo","","Sat Sep 07 15:52:32 WIB 2024","passed","Sat Sep 07 15:52:36 WIB 2024","","Navbar","",""
"","1652","navigate to special page on clicking special button","","Sat Sep 07 20:50:44 WIB 2024","passed","Sat Sep 07 20:50:46 WIB 2024","","Navbar","",""
"","36936","Should be able to fill password","","Sat Sep 07 15:53:39 WIB 2024","passed","Sat Sep 07 15:54:16 WIB 2024","","Register page","",""
"","123317","Should be able to fill ZIP Code","","Sat Sep 07 20:52:21 WIB 2024","passed","Sat Sep 07 20:54:24 WIB 2024","","Register page","",""
"","108420","Should be able to fill the lastname","","Sat Sep 07 20:50:45 WIB 2024","passed","Sat Sep 07 20:52:34 WIB 2024","","Register page","",""
"","79257","Should be able to fill company","","Sat Sep 07 15:52:56 WIB 2024","passed","Sat Sep 07 15:54:16 WIB 2024","","Register page","",""
"","9457","Should be able to show message is privacy policy is not selected","","Sat Sep 07 15:54:06 WIB 2024","passed","Sat Sep 07 15:54:16 WIB 2024","","Register page","",""
"","34650","Should be able password to hide the password","","Sat Sep 07 15:53:41 WIB 2024","passed","Sat Sep 07 15:54:16 WIB 2024","","Register page","",""
"","52862","Should be able to country is select United Kingdom automatically","","Sat Sep 07 15:53:23 WIB 2024","passed","Sat Sep 07 15:54:16 WIB 2024","","Register page","",""
"","1281","navigate to invoice page on clicking check your order button in account dropdown menu","","Sat Sep 07 15:52:48 WIB 2024","passed","Sat Sep 07 15:52:49 WIB 2024","","Navbar","",""
"","55731","Should be able to show message when ZIP code is not between 3 and 10 characters","","Sat Sep 07 15:53:20 WIB 2024","passed","Sat Sep 07 15:54:16 WIB 2024","","Register page","",""
"","67603","Should be able to fill ZIP Code","","Sat Sep 07 20:51:26 WIB 2024","passed","Sat Sep 07 20:52:34 WIB 2024","","Register page","",""
"","70988","Should be able to fill second message","","Sat Sep 07 15:53:05 WIB 2024","passed","Sat Sep 07 15:54:16 WIB 2024","","Register page","",""
"","73785","Should be able to select region dropdown","","Sat Sep 07 20:51:20 WIB 2024","passed","Sat Sep 07 20:52:34 WIB 2024","","Register page","",""
"","673","dropdown is appear on hovering over account button","","Sat Sep 07 20:50:48 WIB 2024","passed","Sat Sep 07 20:50:49 WIB 2024","","Navbar","",""
"","2710","Should be able to show privacy policy modal","","Sat Sep 07 20:53:51 WIB 2024","passed","Sat Sep 07 20:53:54 WIB 2024","","Register page","",""
"","84374","Should be able to fill phonenumber","","Sat Sep 07 15:52:51 WIB 2024","passed","Sat Sep 07 15:54:16 WIB 2024","","Register page","",""
"","117587","Should be able to fill the firstname","","Sat Sep 07 20:50:36 WIB 2024","passed","Sat Sep 07 20:52:34 WIB 2024","","Register page","",""
"","49803","Should be able to show message when loginname is empty","","Sat Sep 07 20:51:44 WIB 2024","passed","Sat Sep 07 20:52:34 WIB 2024","","Register page","",""
"","1452","navigate to account page on clicking account button","","Sat Sep 07 15:52:43 WIB 2024","passed","Sat Sep 07 15:52:44 WIB 2024","","Navbar","",""
"","13729","Should be able to show alert message if password and confirm password are not same","","Sat Sep 07 15:54:02 WIB 2024","passed","Sat Sep 07 15:54:16 WIB 2024","","Register page","",""
"","107896","Should be able to choose country","","Sat Sep 07 20:52:36 WIB 2024","passed","Sat Sep 07 20:54:24 WIB 2024","","Register page","",""
"","15428","Should be able to show alert message if password and confirm password are not same","","Sat Sep 07 20:52:18 WIB 2024","passed","Sat Sep 07 20:52:34 WIB 2024","","Register page","",""
"","82443","Should be able to fill password","","Sat Sep 07 20:53:02 WIB 2024","passed","Sat Sep 07 20:54:24 WIB 2024","","Register page","",""
"","209737","Should be able to show message when firstname is more than 32 characters","","Sat Sep 07 20:50:55 WIB 2024","passed","Sat Sep 07 20:54:24 WIB 2024","","Register page","",""
"","87211","Should be able to show message when email is empty","","Sat Sep 07 15:52:48 WIB 2024","passed","Sat Sep 07 15:54:16 WIB 2024","","Register page","",""
"","1194","navigate to login page on clicking login button in account dropdown menu","","Sat Sep 07 20:50:50 WIB 2024","passed","Sat Sep 07 20:50:51 WIB 2024","","Navbar","",""
"","95200","Should be able to fill the lastname","","Sat Sep 07 15:52:40 WIB 2024","passed","Sat Sep 07 15:54:16 WIB 2024","","Register page","",""
"","52359","Should be able to fill loginname","","Sat Sep 07 20:51:41 WIB 2024","passed","Sat Sep 07 20:52:34 WIB 2024","","Register page","",""
"","24660","Should be able to choose no for subscribe letter","","Sat Sep 07 15:53:51 WIB 2024","passed","Sat Sep 07 15:54:16 WIB 2024","","Register page","",""
"","36138","Should be able to show message if password is not between 4 and 20 characters","","Sat Sep 07 20:51:58 WIB 2024","passed","Sat Sep 07 20:52:34 WIB 2024","","Register page","",""
